Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
L,229127,2.20,2.20,0.00,2.22,-0.13,0.00,-800.00,1023.00,0.02,15.00,0.00,1
L,40,1.80,2.20,0.00,2.69,-0.13,0.00,-70.17,467.99,0.07,15.00,0.00,1
L,40,2.80,2.20,0.00,1.04,-0.13,0.00,-27.22,470.44,0.07,15.00,0.00,1
S,229058,10.90,10.90,0.00,2.47,-0.10,0.00,0.00,0.00,0.01,15.00,0.01,1
R,229130,12.00,12.00,0.00,2.30,-0.01,0.00,0.00,0.00,0.01,15.00,0.07,1
L,40,1.90,2.20,0.00,1.30,-0.13,0.00,-34.03,468.65,0.07,15.00,0.00,1
R,40,11.40,12.00,0.00,2.74,-0.01,0.00,0.00,0.00,0.01,15.00,0.07,1
S,40,10.60,10.90,0.00,3.00,-0.10,0.00,0.00,0.00,0.01,15.00,0.01,1
L,40,2.70,2.20,0.00,0.94,-0.13,0.00,-24.50,468.95,0.00,15.00,0.00,1
R,40,11.70,12.00,0.00,2.60,-0.01,0.00,0.00,0.00,0.01,15.00,0.07,1
S,40,10.60,10.90,0.00,2.82,-0.10,0.00,0.00,0.00,0.01,15.00,0.01,1
L,40,2.00,2.20,0.00,1.01,-0.13,0.00,-26.33,471.19,0.00,15.00,0.00,1
R,40,12.10,12.00,0.00,2.09,-0.01,0.00,0.00,0.00,0.01,15.00,0.00,1
S,40,10.80,10.90,0.00,2.33,-0.10,0.00,0.00,0.00,0.01,15.00,0.01,1
L,40,2.50,2.20,0.00,0.65,-0.13,0.00,-16.95,467.21,0.00,15.00,0.00,1
R,40,12.00,12.00,0.00,1.65,-0.01,0.00,0.00,0.00,0.01,15.00,0.00,1
S,40,10.80,10.90,0.00,1.98,-0.10,0.00,0.00,0.00,0.01,15.00,0.01,1
L,40,2.20,2.20,0.00,0.53,-0.13,0.00,-13.72,462.28,0.00,15.00,0.00,1
R,40,11.90,12.00,0.00,1.21,-0.01,0.00,0.00,0.00,0.01,15.00,0.00,1
S,40,10.60,10.90,0.00,1.48,-0.10,0.00,0.00,0.00,0.01,15.00,0.01,1
L,40,1.50,2.20,0.00,0.39,-0.13,0.00,-10.06,466.00,0.00,15.00,0.00,1
R,40,11.70,12.00,0.00,0.92,-0.01,0.00,0.00,0.00,0.01,15.00,0.00,1
S,40,10.70,10.90,0.00,1.03,-0.10,0.00,0.00,0.00,0.01,15.00,0.01,1
L,40,2.70,2.20,0.00,0.32,-0.13,0.00,-8.27,470.31,0.00,15.00,0.00,1
R,40,11.60,12.00,0.00,0.66,-0.01,0.00,0.00,0.00,0.01,15.00,0.00,1
S,40,10.70,10.90,0.00,0.75,-0.10,0.00,0.00,0.00,0.01,15.00,0.01,1
L,40,2.30,2.20,0.00,0.20,-0.13,0.00,-5.30,469.37,0.00,15.00,0.00,1
R,40,11.70,12.00,0.00,0.46,-0.01,0.00,0.00,0.00,0.01,15.00,0.00,1
S,40,10.50,10.90,0.00,0.55,-0.10,0.00,0.00,0.00,0.01,15.00,0.01,1
L,40,2.60,2.20,0.00,0.15,-0.13,0.00,-3.88,466.85,0.00,15.00,0.00,1
R,40,11.70,12.00,0.00,0.33,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.80,10.90,0.00,0.38,-0.10,0.00,0.00,0.00,0.00,15.00,0.01,1
L,40,2.00,2.20,0.00,0.10,-0.13,0.00,-2.70,465.23,0.00,15.00,0.00,1
R,40,11.90,12.00,0.00,0.23,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.80,10.90,0.00,0.27,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.80,2.20,0.00,0.09,-0.13,0.00,-2.26,464.41,0.00,15.00,0.00,1
R,40,11.70,12.00,0.00,0.16,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.60,10.90,0.00,0.19,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.50,2.20,0.00,0.04,-0.13,0.00,-1.13,464.79,0.00,15.00,0.00,1
R,40,11.80,12.00,0.00,0.11,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.14,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.70,2.20,0.00,0.01,-0.13,0.00,-0.16,462.18,0.00,15.00,0.00,1
R,40,11.60,12.00,0.00,0.02,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.50,10.90,0.00,0.09,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.30,2.20,0.00,0.01,-0.13,0.00,-0.20,471.94,0.00,15.00,0.00,1
R,40,11.70,12.00,0.00,0.02,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.50,10.90,0.00,0.07,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.10,2.20,0.00,0.01,-0.13,0.00,-0.20,472.52,0.00,15.00,0.00,1
R,40,11.70,12.00,0.00,0.01,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.05,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.90,2.20,0.00,0.13,-0.13,0.00,-3.37,474.30,0.00,15.00,0.00,1
R,40,11.70,12.00,0.00,0.01,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.60,10.90,0.00,0.01,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.50,2.20,0.00,0.01,-0.13,0.00,-0.30,470.17,0.00,15.00,0.00,1
R,40,11.70,12.00,0.00,0.01,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.90,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.50,2.20,0.00,0.01,-0.13,0.00,-0.23,464.88,0.00,15.00,0.00,1
R,40,11.70,12.00,0.00,0.01,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.60,10.90,0.00,0.01,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.40,2.20,0.00,0.01,-0.13,0.00,-0.19,468.44,0.00,15.00,0.00,1
R,40,11.70,12.00,0.00,0.01,-0.02,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.01,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.60,2.20,0.00,0.01,-0.13,0.00,-0.13,465.87,0.00,15.00,0.00,1
R,40,11.60,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.50,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.30,2.20,0.00,-0.03,-0.08,0.00,0.69,301.10,0.00,15.00,0.00,1
R,40,11.70,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.90,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.90,2.20,0.00,-0.03,-0.07,0.00,0.88,158.31,0.00,15.00,0.00,1
R,40,11.50,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.60,2.20,0.00,0.04,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.80,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.90,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.80,2.20,0.00,-0.04,-0.04,0.00,1.04,157.26,0.00,15.00,0.00,1
R,40,11.90,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.90,2.20,0.00,-0.04,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,12.00,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.50,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.00,2.20,0.00,-0.03,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,12.10,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.60,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.50,2.20,0.00,-0.02,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.90,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,0.80,2.20,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.80,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.00,2.20,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.60,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.40,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.40,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.50,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.50,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.80,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.90,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.90,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.60,2.20,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.90,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.60,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.60,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.60,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.60,2.20,0.00,-0.00,-0.05,0.00,0.04,165.86,0.00,15.00,0.00,1
R,40,11.90,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.90,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.80,12.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.70,2.20,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,12.00,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.60,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.60,2.20,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,41,11.70,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.50,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.60,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.20,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,12.00,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,41,10.50,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.90,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.90,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.60,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.40,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.70,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.80,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.20,2.20,0.00,-0.00,-0.04,0.00,0.00,156.19,0.00,15.00,0.00,1
R,40,11.80,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.90,2.20,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.60,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.60,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.70,2.20,0.00,-0.00,-0.04,0.00,0.00,159.66,0.00,15.00,0.00,1
R,40,12.10,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.80,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,12.00,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.90,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.00,2.20,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.70,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.50,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.00,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.80,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.50,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.80,2.20,0.00,-0.00,-0.04,0.00,0.00,146.40,0.00,15.00,0.00,1
R,40,11.90,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.60,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.50,2.20,0.00,-0.00,-0.04,0.00,0.00,159.30,0.00,15.00,0.00,1
R,40,11.70,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,41,10.90,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.70,2.20,0.00,-0.00,-0.05,0.00,0.00,166.83,0.00,15.00,0.00,1
R,40,11.90,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.90,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.20,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,12.00,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.60,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,12.10,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.80,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.60,2.20,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.90,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.80,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.80,2.20,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,12.00,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.60,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,12.00,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.60,2.20,0.00,-0.00,-0.04,0.00,0.00,163.38,0.00,15.00,0.00,1
R,40,11.90,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.80,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.80,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,12.10,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.80,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.50,2.20,0.00,-0.00,-0.05,0.00,0.00,172.52,0.00,15.00,0.00,1
S,40,10.80,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.60,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.80,2.20,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,12.20,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.70,2.20,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.90,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.80,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.60,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.80,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.80,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.80,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.80,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.20,2.20,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.70,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,41,1.30,2.20,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.90,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.60,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.80,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.50,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,11.00,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.10,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.70,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.40,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.80,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,41,10.90,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.20,2.20,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.70,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.90,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.20,2.20,0.00,-0.00,-0.04,0.00,0.00,157.98,0.00,15.00,0.00,1
R,40,11.90,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.60,2.20,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.80,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.80,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,0.90,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.80,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.80,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.90,2.20,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.80,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.80,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.20,2.20,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,12.00,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.80,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.70,2.20,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.70,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.70,2.20,0.00,-0.00,-0.05,0.00,0.00,172.13,0.00,15.00,0.00,1
R,40,12.00,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,11.00,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.50,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,12.00,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.60,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.50,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.50,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.80,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.40,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,12.00,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.80,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.80,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,12.00,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.80,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.00,2.20,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.80,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.90,10.90,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.80,2.20,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,12.10,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.80,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.00,2.20,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.50,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.70,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.90,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.00,2.20,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,12.20,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.50,2.20,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,12.20,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.80,2.20,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.80,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.40,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.60,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.90,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.60,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,2.00,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,11.70,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.90,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,1.30,2.20,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,12.10,12.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
